MapID,Area Name,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
11214,11214 - Bath Beach/Bensonhurst,1016,3857,2136,777,169,1,59,22,0,3,2,128,1,0,2,3,2,1,197,0,1,114,0,29,5,43,15,15,129,548,1,0,178,22,7,0,32,13
11215,11215 - Park Slope/Windsor Terrace,857,3102,1590,665,619,5,43,126,24,4,66,170,4,2,8,0,3,1,66,0,0,70,2,51,4,43,12,15,258,743,0,11,131,26,11,8,352,27
11216,11216 - Bedford-Stuyvesant,361,1808,1239,682,618,94,59,16,6,0,23,89,3,0,4,7,4,1,82,0,0,58,1,78,7,22,9,8,49,525,0,0,194,19,5,10,32,18
11217,11217 - Park Slope/Gowanus,223,1024,718,344,249,77,22,55,12,1,51,99,6,1,3,4,3,4,50,0,1,45,7,39,7,39,6,34,146,489,0,3,89,17,12,6,153,15
11218,11218 - Kensington/Windsor Terrace,1377,2658,937,383,126,3,80,55,11,5,18,141,2,0,2,6,2,0,104,0,0,48,0,39,5,27,11,13,93,534,0,3,77,37,11,0,72,22
11219,11219 - Borough Park,407,3081,1989,607,176,0,73,104,11,15,37,126,3,5,3,4,5,0,99,0,1,157,1,132,7,106,9,5,394,844,0,22,158,74,3,2,19,14
11220,11220 - Sunset Park,602,3986,1296,818,349,4,26,166,13,18,24,156,1,1,10,1,3,1,78,0,0,129,0,60,10,59,11,19,67,956,2,18,94,22,7,16,28,9
11221,11221 - Bushwick/Bedford-Stuyvesant,391,3930,1976,809,436,14,59,37,2,1,25,187,3,0,3,3,11,0,74,0,0,44,4,118,7,15,9,21,20,546,0,2,353,29,7,1,28,53
11222,11222 - Greenpoint,182,1014,976,763,440,2,26,315,82,10,136,193,2,0,1,0,0,16,53,0,2,26,9,35,3,45,12,9,90,602,2,5,67,6,6,84,20,76
11223,11223 - Gravesend/Homecrest,2487,4364,1405,372,66,3,58,26,9,1,15,124,0,0,6,1,1,1,198,0,0,82,0,45,2,75,19,10,45,638,0,19,232,36,3,1,19,18
11224,11224 - Coney Island,1214,509,163,126,33,7,70,17,4,0,9,156,0,0,2,4,2,0,58,0,1,22,0,22,6,8,28,19,13,88,2,14,225,9,11,1,9,26
11225,11225 - Crown Heights,1200,1163,254,161,258,9,135,12,1,0,5,46,0,0,3,0,1,0,32,0,0,28,0,32,3,17,2,4,30,394,0,12,68,30,8,1,20,5
11226,11226 - Flatbush,1124,1359,675,169,403,8,291,15,2,0,4,84,0,0,4,3,5,1,146,1,0,125,0,69,7,29,7,4,14,672,0,18,60,24,4,0,37,4
11228,11228 - Dyker Heights,2419,3513,1078,162,33,0,3,0,0,1,4,34,0,1,1,1,0,0,35,0,0,44,0,12,3,33,5,3,41,375,0,0,41,10,2,1,5,0
11229,11229 - Homecrest/Madison,6184,3558,477,111,63,3,109,3,1,0,0,138,0,0,9,3,2,0,166,0,0,97,0,53,4,110,23,24,64,362,1,9,387,31,28,1,48,43
11230,11230 - Midwood,3231,2432,608,185,132,1,155,16,8,2,11,84,1,0,5,8,2,1,140,0,0,63,0,79,8,62,5,9,53,454,0,30,118,48,5,0,61,10
11231,11231 - Carroll Gardens/Red Hook,251,850,979,735,208,10,19,174,12,2,105,213,2,0,3,0,2,1,31,0,1,17,3,23,2,32,5,30,124,501,5,5,315,11,24,1,79,82
11232,11232 - Industry City/Sunset Park,124,854,422,277,156,1,8,289,40,42,43,149,9,0,4,0,1,1,35,0,0,53,5,14,1,40,5,5,33,225,7,16,41,12,4,9,28,20
11233,11233 - Stuyvesant Heights,191,3290,2001,647,365,6,41,20,3,2,11,177,2,2,2,2,1,0,43,0,0,31,0,119,8,8,4,39,33,453,0,3,430,22,7,8,15,41
11234,11234 - Flatlands/Mill Basin,10564,6406,930,43,12,3,7,36,2,1,14,176,0,1,3,2,1,0,207,0,7,94,0,35,2,117,12,31,19,273,5,10,240,17,11,0,16,42
11235,11235 - Sheepshead Bay/Brighton Beach,2104,3179,857,196,55,46,119,10,1,1,3,76,4,1,3,9,0,2,205,0,1,87,0,34,1,128,12,25,173,304,4,12,203,29,7,0,75,18
11236,11236 - Canarsie,2918,8813,1462,119,14,0,9,104,14,3,25,200,0,0,4,13,5,0,125,0,11,46,0,54,1,62,7,35,28,209,0,40,233,31,12,0,3,56
11237,11237 - Bushwick,114,788,539,1336,214,1,19,170,67,7,65,165,1,1,5,0,0,2,72,0,0,48,7,24,4,18,2,18,24,518,0,12,60,13,14,2,2,83
